time_ms,theta_ref,theta,control_voltage,motor_voltage
555.0,-0.1,-0.0994,0.01,0.35
560.0,-0.1,-0.0889,0.22,0.56
565.0,-0.1,-0.0972,0.06,0.4
570.0,-0.1,-0.1023,-0.05,-0.42
575.0,-0.1,-0.1041,-0.08,-0.45
580.0,-0.1,-0.1048,-0.1,-0.47
585.0,-0.1,-0.1088,-0.18,-0.55
590.0,-0.1,-0.0994,0.01,0.35
595.0,-0.1,-0.1027,-0.05,-0.42
600.0,-0.1,-0.1041,-0.08,-0.45
605.0,-0.1,-0.1016,-0.03,-0.4
610.0,-0.1,-0.094,0.12,0.46
615.0,-0.1,-0.0976,0.05,0.39
620.0,-0.1,-0.099,0.02,0.36
625.0,-0.1,-0.0961,0.08,0.42
630.0,-0.1,-0.0976,0.05,0.39
635.0,-0.1,-0.0845,0.31,0.65
640.0,-0.1,-0.0998,0.0,0.34
645.0,-0.1,-0.1034,-0.07,-0.44
650.0,-0.1,-0.1034,-0.07,-0.44
655.0,-0.1,-0.1048,-0.1,-0.47
660.0,-0.1,-0.1009,-0.02,-0.39
665.0,-0.1,-0.1103,-0.21,-0.58
670.0,-0.1,-0.1038,-0.08,-0.45
675.0,-0.1,-0.0994,0.01,0.35
680.0,-0.1,-0.1001,-0.0,-0.37
685.0,-0.1,-0.0929,0.14,0.48
690.0,-0.1,-0.1023,-0.05,-0.42
695.0,-0.1,-0.0976,0.05,0.39
700.0,-0.1,-0.1005,-0.01,-0.38
705.0,-0.1,-0.0925,0.15,0.49
710.0,-0.1,-0.0907,0.19,0.53
715.0,-0.1,-0.1005,-0.01,-0.38
720.0,-0.1,-0.1005,-0.01,-0.38
725.0,-0.1,-0.1077,-0.15,-0.52
730.0,-0.1,-0.1023,-0.05,-0.42
735.0,-0.1,-0.1012,-0.02,-0.39
740.0,-0.1,-0.1034,-0.07,-0.44
745.0,-0.1,-0.0969,0.06,0.4
750.0,-0.1,-0.0911,0.18,0.52
755.0,-0.1,-0.0983,0.03,0.37
760.0,-0.1,-0.0976,0.05,0.39
765.0,-0.1,-0.0987,0.03,0.37
770.0,-0.1,-0.0936,0.13,0.47
775.0,-0.1,-0.0961,0.08,0.42
780.0,-0.1,-0.1034,-0.07,-0.44
785.0,-0.1,-0.0921,0.16,0.5
790.0,-0.1,-0.1045,-0.09,-0.46
795.0,-0.1,-0.0983,0.03,0.37
800.0,-0.1,-0.1005,-0.01,-0.38
805.0,-0.1,-0.1034,-0.07,-0.44
810.0,-0.1,-0.1063,-0.13,-0.5
815.0,-0.1,-0.1005,-0.01,-0.38
820.0,-0.1,-0.1041,-0.08,-0.45
825.0,-0.1,-0.0976,0.05,0.39
830.0,-0.1,-0.0998,0.0,0.34
835.0,-0.1,-0.099,0.02,0.36
840.0,-0.1,-0.0918,0.16,0.5
845.0,-0.1,-0.0961,0.08,0.42
850.0,-0.1,-0.0961,0.08,0.42
855.0,-0.1,-0.1027,-0.05,-0.42
860.0,-0.1,-0.0885,0.23,0.57
865.0,-0.1,-0.0994,0.01,0.35
870.0,-0.1,-0.1019,-0.04,-0.41
875.0,-0.1,-0.0976,0.05,0.39
880.0,-0.1,-0.1034,-0.07,-0.44
885.0,-0.1,-0.107,-0.14,-0.51
890.0,-0.1,-0.1012,-0.02,-0.39
895.0,-0.1,-0.1088,-0.18,-0.55
900.0,-0.1,-0.0994,0.01,0.35
905.0,-0.1,-0.1012,-0.02,-0.39
910.0,-0.1,-0.0943,0.11,0.45
915.0,-0.1,-0.0987,0.03,0.37
920.0,-0.1,-0.1019,-0.04,-0.41
925.0,-0.1,-0.0983,0.03,0.37
930.0,-0.1,-0.0972,0.06,0.4
935.0,-0.1,-0.094,0.12,0.46
940.0,-0.1,-0.099,0.02,0.36
945.0,-0.1,-0.0987,0.03,0.37
950.0,-0.1,-0.1023,-0.05,-0.42
955.0,-0.1,-0.1027,-0.05,-0.42
960.0,-0.1,-0.1085,-0.17,-0.54
965.0,-0.1,-0.099,0.02,0.36
970.0,-0.1,-0.0983,0.03,0.37
975.0,-0.1,-0.1052,-0.1,-0.47
980.0,-0.1,-0.0998,0.0,0.34
985.0,-0.1,-0.099,0.02,0.36
990.0,-0.1,-0.107,-0.14,-0.51
995.0,-0.1,-0.1027,-0.05,-0.42
1000.0,0.1,-0.0987,-3.97,-4.34
1005.0,0.1,-0.0947,-3.89,-4.26
1010.0,0.1,-0.0961,-3.92,-4.29
1015.0,0.1,-0.0678,-3.36,-3.73
1020.0,0.1,-0.0588,-3.18,-3.55
1025.0,0.1,-0.0316,-2.63,-3.0
1030.0,0.1,-0.0076,-2.15,-2.52
1035.0,0.1,0.0094,-1.81,-2.18
1040.0,0.1,0.0453,-1.09,-1.46
1045.0,0.1,0.0566,-0.87,-1.24
1050.0,0.1,0.0769,-0.46,-0.83
1055.0,0.1,0.0918,-0.16,-0.53
1060.0,0.1,0.1067,0.13,0.47
1065.0,0.1,0.1139,0.28,0.62
1070.0,0.1,0.1168,0.34,0.68
1075.0,0.1,0.1237,0.47,0.81
1080.0,0.1,0.1241,0.48,0.82
1085.0,0.1,0.1288,0.58,0.92
1090.0,0.1,0.1252,0.5,0.84
1095.0,0.1,0.123,0.46,0.8
1100.0,0.1,0.1161,0.32,0.66
1105.0,0.1,0.1139,0.28,0.62
1110.0,0.1,0.1117,0.23,0.57
1115.0,0.1,0.1041,0.08,0.42
1120.0,0.1,0.1027,0.05,0.39
1125.0,0.1,0.1056,0.11,0.45
1130.0,0.1,0.094,-0.12,-0.49
1135.0,0.1,0.1008,0.02,0.36
