time_ms,theta_ref,theta,control_voltage,motor_voltage
605.0,-0.1,-0.1012,-0.04,-0.41
610.0,-0.1,-0.1012,-0.04,-0.41
615.0,-0.1,-0.0918,0.25,0.59
620.0,-0.1,-0.1034,-0.1,-0.47
625.0,-0.1,-0.0969,0.09,0.43
630.0,-0.1,-0.1005,-0.01,-0.38
635.0,-0.1,-0.0961,0.12,0.46
640.0,-0.1,-0.0765,0.7,1.04
645.0,-0.1,-0.107,-0.21,-0.58
650.0,-0.1,-0.099,0.03,0.37
655.0,-0.1,-0.1034,-0.1,-0.47
660.0,-0.1,-0.099,0.03,0.37
665.0,-0.1,-0.1019,-0.06,-0.43
670.0,-0.1,-0.099,0.03,0.37
675.0,-0.1,-0.1009,-0.03,-0.4
680.0,-0.1,-0.1005,-0.01,-0.38
685.0,-0.1,-0.0994,0.02,0.36
690.0,-0.1,-0.0983,0.05,0.39
695.0,-0.1,-0.1034,-0.1,-0.47
700.0,-0.1,-0.0998,0.01,0.35
705.0,-0.1,-0.1005,-0.01,-0.38
710.0,-0.1,-0.1009,-0.03,-0.4
715.0,-0.1,-0.1048,-0.15,-0.52
720.0,-0.1,-0.0943,0.17,0.51
725.0,-0.1,-0.0994,0.02,0.36
730.0,-0.1,-0.0987,0.04,0.38
735.0,-0.1,-0.0976,0.07,0.41
740.0,-0.1,-0.0998,0.01,0.35
745.0,-0.1,-0.1012,-0.04,-0.41
750.0,-0.1,-0.0998,0.01,0.35
755.0,-0.1,-0.1056,-0.17,-0.54
760.0,-0.1,-0.1103,-0.31,-0.68
765.0,-0.1,-0.1059,-0.18,-0.55
770.0,-0.1,-0.1009,-0.03,-0.4
775.0,-0.1,-0.1005,-0.01,-0.38
780.0,-0.1,-0.0925,0.22,0.56
785.0,-0.1,-0.0961,0.12,0.46
790.0,-0.1,-0.0947,0.16,0.5
795.0,-0.1,-0.0954,0.14,0.48
800.0,-0.1,-0.0936,0.19,0.53
805.0,-0.1,-0.0936,0.19,0.53
810.0,-0.1,-0.1019,-0.06,-0.43
815.0,-0.1,-0.1038,-0.11,-0.48
820.0,-0.1,-0.1041,-0.12,-0.49
825.0,-0.1,-0.0976,0.07,0.41
830.0,-0.1,-0.103,-0.09,-0.46
835.0,-0.1,-0.0994,0.02,0.36
840.0,-0.1,-0.1012,-0.04,-0.41
845.0,-0.1,-0.1005,-0.01,-0.38
850.0,-0.1,-0.0976,0.07,0.41
855.0,-0.1,-0.0998,0.01,0.35
860.0,-0.1,-0.1041,-0.12,-0.49
865.0,-0.1,-0.1019,-0.06,-0.43
870.0,-0.1,-0.0983,0.05,0.39
875.0,-0.1,-0.1009,-0.03,-0.4
880.0,-0.1,-0.0983,0.05,0.39
885.0,-0.1,-0.1009,-0.03,-0.4
890.0,-0.1,-0.1063,-0.19,-0.56
895.0,-0.1,-0.0983,0.05,0.39
900.0,-0.1,-0.0998,0.01,0.35
905.0,-0.1,-0.0965,0.11,0.45
910.0,-0.1,-0.0976,0.07,0.41
915.0,-0.1,-0.098,0.06,0.4
920.0,-0.1,-0.1063,-0.19,-0.56
925.0,-0.1,-0.1027,-0.08,-0.45
930.0,-0.1,-0.1019,-0.06,-0.43
935.0,-0.1,-0.1012,-0.04,-0.41
940.0,-0.1,-0.1016,-0.05,-0.42
945.0,-0.1,-0.1074,-0.22,-0.59
950.0,-0.1,-0.0976,0.07,0.41
955.0,-0.1,-0.0882,0.36,0.7
960.0,-0.1,-0.0911,0.27,0.61
965.0,-0.1,-0.1034,-0.1,-0.47
970.0,-0.1,-0.0961,0.12,0.46
975.0,-0.1,-0.099,0.03,0.37
980.0,-0.1,-0.1019,-0.06,-0.43
985.0,-0.1,-0.0961,0.12,0.46
990.0,-0.1,-0.0976,0.07,0.41
995.0,-0.1,-0.1034,-0.1,-0.47
1000.0,0.1,-0.094,-5.82,-6.19
1005.0,0.1,-0.099,-5.97,-6.34
1010.0,0.1,-0.0794,-5.38,-5.75
1015.0,0.1,-0.057,-4.71,-5.08
1020.0,0.1,-0.0294,-3.88,-4.25
1025.0,0.1,0.0047,-2.86,-3.23
1030.0,0.1,0.0345,-1.97,-2.34
1035.0,0.1,0.066,-1.02,-1.39
1040.0,0.1,0.0896,-0.31,-0.68
1045.0,0.1,0.1092,0.28,0.62
1050.0,0.1,0.1273,0.82,1.16
1055.0,0.1,0.1418,1.26,1.6
1060.0,0.1,0.1426,1.28,1.62
1065.0,0.1,0.1462,1.39,1.73
1070.0,0.1,0.1397,1.19,1.53
1075.0,0.1,0.1371,1.11,1.45
1080.0,0.1,0.1302,0.91,1.25
1085.0,0.1,0.1346,1.04,1.38
1090.0,0.1,0.119,0.57,0.91
1095.0,0.1,0.1143,0.43,0.77
1100.0,0.1,0.1038,0.11,0.45
1105.0,0.1,0.0882,-0.36,-0.73
1110.0,0.1,0.0947,-0.16,-0.53
1115.0,0.1,0.086,-0.42,-0.79
1120.0,0.1,0.0896,-0.31,-0.68
1125.0,0.1,0.0845,-0.46,-0.83
1130.0,0.1,0.0943,-0.17,-0.54
1135.0,0.1,0.0896,-0.31,-0.68
1140.0,0.1,0.0929,-0.21,-0.58
1145.0,0.1,0.0998,-0.01,-0.38
1150.0,0.1,0.1114,0.34,0.68
1155.0,0.1,0.1038,0.11,0.45
1160.0,0.1,0.099,-0.03,-0.4
1165.0,0.1,0.1088,0.26,0.6
1170.0,0.1,0.0976,-0.07,-0.44
1175.0,0.1,0.1099,0.3,0.64
1180.0,0.1,0.1012,0.04,0.38
1185.0,0.1,0.1056,0.17,0.51
1190.0,0.1,0.1005,0.01,0.35
1195.0,0.1,0.1012,0.04,0.38
1200.0,0.1,0.0976,-0.07,-0.44
1205.0,0.1,0.0947,-0.16,-0.53
1210.0,0.1,0.103,0.09,0.43
1215.0,0.1,0.0987,-0.04,-0.41
1220.0,0.1,0.0932,-0.2,-0.57
1225.0,0.1,0.0954,-0.14,-0.51
1230.0,0.1,0.0961,-0.12,-0.49
1235.0,0.1,0.1008,0.03,0.37
1240.0,0.1,0.0983,-0.05,-0.42
1245.0,0.1,0.0882,-0.36,-0.73
1250.0,0.1,0.1052,0.16,0.5
1255.0,0.1,0.1077,0.23,0.57
1260.0,0.1,0.1056,0.17,0.51
1265.0,0.1,0.1012,0.04,0.38
1270.0,0.1,0.1034,0.1,0.44
1275.0,0.1,0.0954,-0.14,-0.51
1280.0,0.1,0.0965,-0.11,-0.48
1285.0,0.1,0.0987,-0.04,-0.41
1290.0,0.1,0.1041,0.12,0.46
1295.0,0.1,0.0972,-0.08,-0.45
1300.0,0.1,0.1005,0.01,0.35
1305.0,0.1,0.094,-0.18,-0.55
1310.0,0.1,0.0976,-0.07,-0.44
1315.0,0.1,0.1012,0.04,0.38
1320.0,0.1,0.0987,-0.04,-0.41
1325.0,0.1,0.0998,-0.01,-0.38
1330.0,0.1,0.1012,0.04,0.38
1335.0,0.1,0.1012,0.04,0.38
1340.0,0.1,0.0965,-0.11,-0.48
1345.0,0.1,0.1019,0.06,0.4
1350.0,0.1,0.1077,0.23,0.57
1355.0,0.1,0.0969,-0.09,-0.46
1360.0,0.1,0.1016,0.05,0.39
1365.0,0.1,0.1027,0.08,0.42
1370.0,0.1,0.1019,0.06,0.4
1375.0,0.1,0.0969,-0.09,-0.46
1380.0,0.1,0.099,-0.03,-0.4
1385.0,0.1,0.0987,-0.04,-0.41
1390.0,0.1,0.0976,-0.07,-0.44
1395.0,0.1,0.0979,-0.06,-0.43
1400.0,0.1,0.0983,-0.05,-0.42
1405.0,0.1,0.1048,0.15,0.49
1410.0,0.1,0.1041,0.12,0.46
1415.0,0.1,0.1077,0.23,0.57
1420.0,0.1,0.099,-0.03,-0.4
1425.0,0.1,0.1005,0.01,0.35
1430.0,0.1,0.1023,0.07,0.41
1435.0,0.1,0.1012,0.04,0.38
1440.0,0.1,0.1016,0.05,0.39
1445.0,0.1,0.0987,-0.04,-0.41
1450.0,0.1,0.1008,0.03,0.37
1455.0,0.1,0.0998,-0.01,-0.38
1460.0,0.1,0.0954,-0.14,-0.51
1465.0,0.1,0.0976,-0.07,-0.44
1470.0,0.1,0.099,-0.03,-0.4
1475.0,0.1,0.0882,-0.36,-0.73
1480.0,0.1,0.1027,0.08,0.42
