time_ms,theta_ref,theta,control_voltage,motor_voltage
550.0,-0.1,-0.0994,0.01,0.35
555.0,-0.1,-0.1012,-0.03,-0.4
560.0,-0.1,-0.1023,-0.06,-0.43
565.0,-0.1,-0.1005,-0.01,-0.38
570.0,-0.1,-0.098,0.05,0.39
575.0,-0.1,-0.1023,-0.06,-0.43
580.0,-0.1,-0.1005,-0.01,-0.38
585.0,-0.1,-0.1012,-0.03,-0.4
590.0,-0.1,-0.1146,-0.37,-0.74
595.0,-0.1,-0.0976,0.06,0.4
600.0,-0.1,-0.0998,0.01,0.35
605.0,-0.1,-0.0972,0.07,0.41
610.0,-0.1,-0.1012,-0.03,-0.4
615.0,-0.1,-0.0983,0.04,0.38
620.0,-0.1,-0.1012,-0.03,-0.4
625.0,-0.1,-0.1001,-0.0,-0.37
630.0,-0.1,-0.094,0.15,0.49
635.0,-0.1,-0.0987,0.03,0.37
640.0,-0.1,-0.0932,0.17,0.51
645.0,-0.1,-0.1103,-0.26,-0.63
650.0,-0.1,-0.0943,0.14,0.48
655.0,-0.1,-0.0918,0.21,0.55
660.0,-0.1,-0.1041,-0.1,-0.47
665.0,-0.1,-0.1016,-0.04,-0.41
670.0,-0.1,-0.0961,0.1,0.44
675.0,-0.1,-0.095,0.12,0.46
680.0,-0.1,-0.0965,0.09,0.43
685.0,-0.1,-0.0947,0.13,0.47
690.0,-0.1,-0.1009,-0.02,-0.39
695.0,-0.1,-0.0969,0.08,0.42
700.0,-0.1,-0.0961,0.1,0.44
705.0,-0.1,-0.1041,-0.1,-0.47
710.0,-0.1,-0.1034,-0.08,-0.45
715.0,-0.1,-0.1001,-0.0,-0.37
720.0,-0.1,-0.0961,0.1,0.44
725.0,-0.1,-0.0998,0.01,0.35
730.0,-0.1,-0.1001,-0.0,-0.37
735.0,-0.1,-0.0961,0.1,0.44
740.0,-0.1,-0.1019,-0.05,-0.42
745.0,-0.1,-0.1009,-0.02,-0.39
750.0,-0.1,-0.103,-0.08,-0.45
755.0,-0.1,-0.103,-0.08,-0.45
760.0,-0.1,-0.099,0.02,0.36
765.0,-0.1,-0.1012,-0.03,-0.4
770.0,-0.1,-0.1019,-0.05,-0.42
775.0,-0.1,-0.0987,0.03,0.37
780.0,-0.1,-0.1027,-0.07,-0.44
785.0,-0.1,-0.0961,0.1,0.44
790.0,-0.1,-0.0914,0.21,0.55
795.0,-0.1,-0.0983,0.04,0.38
800.0,-0.1,-0.099,0.02,0.36
805.0,-0.1,-0.099,0.02,0.36
810.0,-0.1,-0.0998,0.01,0.35
815.0,-0.1,-0.1023,-0.06,-0.43
820.0,-0.1,-0.0998,0.01,0.35
825.0,-0.1,-0.1074,-0.18,-0.55
830.0,-0.1,-0.1052,-0.13,-0.5
835.0,-0.1,-0.1019,-0.05,-0.42
840.0,-0.1,-0.0961,0.1,0.44
845.0,-0.1,-0.1048,-0.12,-0.49
850.0,-0.1,-0.0907,0.23,0.57
855.0,-0.1,-0.0998,0.01,0.35
860.0,-0.1,-0.1041,-0.1,-0.47
865.0,-0.1,-0.1201,-0.5,-0.87
870.0,-0.1,-0.1063,-0.16,-0.53
875.0,-0.1,-0.0918,0.21,0.55
880.0,-0.1,-0.0972,0.07,0.41
885.0,-0.1,-0.1048,-0.12,-0.49
890.0,-0.1,-0.094,0.15,0.49
895.0,-0.1,-0.1034,-0.08,-0.45
900.0,-0.1,-0.0961,0.1,0.44
